Raw ADC: 1075816678, Delta ADC: 0
Raw ADC: 1092865335, Delta ADC: 13528
Raw ADC: 1092863644, Delta ADC: 4294965604
Raw ADC: 1092863503, Delta ADC: 4294967154
Raw ADC: 1092871958, Delta ADC: 8455
Raw ADC: 1092881399, Delta ADC: 9441
Raw ADC: 1092986662, Delta ADC: 105263
Raw ADC: 1093033164, Delta ADC: 46502
Raw ADC: 1093047537, Delta ADC: 14373
Raw ADC: 1093031755, Delta ADC: 4294951513
Raw ADC: 1093039928, Delta ADC: 8173
Raw ADC: 1093040491, Delta ADC: 563
Raw ADC: 1093045705, Delta ADC: 5214
Raw ADC: 1093038660, Delta ADC: 4294960250
Raw ADC: 1093026259, Delta ADC: 4294954894
Raw ADC: 1093018791, Delta ADC: 4294959827
Raw ADC: 1093019213, Delta ADC: 422
Raw ADC: 1093017663, Delta ADC: 4294965745
Raw ADC: 1093014845, Delta ADC: 4294964477
Raw ADC: 1093015409, Delta ADC: 564
Raw ADC: 1093015690, Delta ADC: 281
Raw ADC: 1093015127, Delta ADC: 4294966732
Raw ADC: 1093013154, Delta ADC: 4294965322
Raw ADC: 1093029077, Delta ADC: 15923
Raw ADC: 1093029218, Delta ADC: 141
Raw ADC: 1093032882, Delta ADC: 3664
Raw ADC: 1093026118, Delta ADC: 4294960531
Raw ADC: 1093030205, Delta ADC: 4087
Raw ADC: 1093032177, Delta ADC: 1972
Raw ADC: 1093037250, Delta ADC: 5073
Raw ADC: 1093049792, Delta ADC: 12542
Raw ADC: 1093047819, Delta ADC: 4294965322
Raw ADC: 1093038941, Delta ADC: 4294958417
Raw ADC: 1093052751, Delta ADC: 13810
Raw ADC: 1093051905, Delta ADC: 4294966449
Raw ADC: 1093064024, Delta ADC: 12119
Raw ADC: 1093066983, Delta ADC: 2959
Raw ADC: 1093074311, Delta ADC: 7328
Raw ADC: 1093079384, Delta ADC: 5073
Raw ADC: 1093088543, Delta ADC: 9159
Raw ADC: 1093091643, Delta ADC: 3100
Raw ADC: 1093092912, Delta ADC: 1269
Raw ADC: 1093100380, Delta ADC: 7468
Raw ADC: 1093105735, Delta ADC: 5355
Raw ADC: 1093101507, Delta ADC: 4294963067
Raw ADC: 1093119685, Delta ADC: 18178
Raw ADC: 1093120813, Delta ADC: 1128
Raw ADC: 1093131099, Delta ADC: 10286
Raw ADC: 1093135045, Delta ADC: 3946
Raw ADC: 1093145754, Delta ADC: 10709
Raw ADC: 1093151814, Delta ADC: 6060
Raw ADC: 1093164778, Delta ADC: 12964
Raw ADC: 1093165201, Delta ADC: 423
Raw ADC: 1093269900, Delta ADC: 104699
Raw ADC: 1093347121, Delta ADC: 77221
Raw ADC: 1093381504, Delta ADC: 34383
Raw ADC: 1093406728, Delta ADC: 25224
Raw ADC: 1093428288, Delta ADC: 21560
Raw ADC: 1093446606, Delta ADC: 18318
Raw ADC: 1093458866, Delta ADC: 12260
Raw ADC: 1093472957, Delta ADC: 14091
Raw ADC: 1093494376, Delta ADC: 21419
Raw ADC: 1093508468, Delta ADC: 14092
Raw ADC: 1093529182, Delta ADC: 20714
Raw ADC: 1093540314, Delta ADC: 11132
Raw ADC: 1093551306, Delta ADC: 10992
Raw ADC: 1093569484, Delta ADC: 18178
Raw ADC: 1093583152, Delta ADC: 13668
Raw ADC: 1093598089, Delta ADC: 14937
Raw ADC: 1093611899, Delta ADC: 13810
Raw ADC: 1093620636, Delta ADC: 8737
Raw ADC: 1093639236, Delta ADC: 18600
Raw ADC: 1093644027, Delta ADC: 4791
Raw ADC: 1093657978, Delta ADC: 13951
Raw ADC: 1093665024, Delta ADC: 7046
Raw ADC: 1093678269, Delta ADC: 13245
Raw ADC: 1093694334, Delta ADC: 16065
Raw ADC: 1093704480, Delta ADC: 10146
Raw ADC: 1093717162, Delta ADC: 12682
Raw ADC: 1093720121, Delta ADC: 2959
Raw ADC: 1093735622, Delta ADC: 15501
Raw ADC: 1093743231, Delta ADC: 7609
Raw ADC: 1093759859, Delta ADC: 16628
Raw ADC: 1093764086, Delta ADC: 4227
Raw ADC: 1093773809, Delta ADC: 9723
Raw ADC: 1093783955, Delta ADC: 10146
Raw ADC: 1093799174, Delta ADC: 15219
Raw ADC: 1093795933, Delta ADC: 4294964054
Raw ADC: 1093808052, Delta ADC: 12119
Raw ADC: 1093807488, Delta ADC: 4294966731
Raw ADC: 1093824539, Delta ADC: 17051
Raw ADC: 1093829893, Delta ADC: 5354
Raw ADC: 1093833980, Delta ADC: 4087
Raw ADC: 1093840744, Delta ADC: 6764
Raw ADC: 1093852862, Delta ADC: 12118
Raw ADC: 1093862304, Delta ADC: 9442
Raw ADC: 1093875690, Delta ADC: 13386
Raw ADC: 1093877663, Delta ADC: 1973
Raw ADC: 1093883723, Delta ADC: 6060
Raw ADC: 1093897250, Delta ADC: 13527
Raw ADC: 1093902464, Delta ADC: 5214
Raw ADC: 1093917401, Delta ADC: 14937
Raw ADC: 1093910074, Delta ADC: 4294959968
Raw ADC: 1093922051, Delta ADC: 11977
Raw ADC: 1093934734, Delta ADC: 12683
Raw ADC: 1093936143, Delta ADC: 1409
Raw ADC: 1093947698, Delta ADC: 11555
Raw ADC: 1093951643, Delta ADC: 3945
Raw ADC: 1093951220, Delta ADC: 4294966872
Raw ADC: 1093957139, Delta ADC: 5919
Raw ADC: 1093963762, Delta ADC: 6623
Raw ADC: 1093959957, Delta ADC: 4294963490
Raw ADC: 1093957703, Delta ADC: 4294965041
Raw ADC: 1093967989, Delta ADC: 10286
Raw ADC: 1093972639, Delta ADC: 4650
Raw ADC: 1093968271, Delta ADC: 4294962927
Raw ADC: 1093968553, Delta ADC: 282
Raw ADC: 1093968271, Delta ADC: 4294967013
Raw ADC: 1093966721, Delta ADC: 4294965745
Raw ADC: 1093969258, Delta ADC: 2537
Raw ADC: 1093978558, Delta ADC: 9300
Raw ADC: 1093969398, Delta ADC: 4294958135
Raw ADC: 1093979967, Delta ADC: 10569
Raw ADC: 1093978558, Delta ADC: 4294965886
Raw ADC: 1093989972, Delta ADC: 11414
Raw ADC: 1093983772, Delta ADC: 4294961095
Raw ADC: 1093995890, Delta ADC: 12118
Raw ADC: 1093994340, Delta ADC: 4294965745
Raw ADC: 1093996877, Delta ADC: 2537
Raw ADC: 1093996595, Delta ADC: 4294967013
Raw ADC: 1094004204, Delta ADC: 7609
Raw ADC: 1093997581, Delta ADC: 4294960672
Raw ADC: 1094002936, Delta ADC: 5355
Raw ADC: 1094008714, Delta ADC: 5778
Raw ADC: 1094008573, Delta ADC: 4294967154
Raw ADC: 1094014068, Delta ADC: 5495
Raw ADC: 1094015477, Delta ADC: 1409
Raw ADC: 1094014209, Delta ADC: 4294966027
Raw ADC: 1094019987, Delta ADC: 5778
Raw ADC: 1094022805, Delta ADC: 2818
Raw ADC: 1094032951, Delta ADC: 10146
Raw ADC: 1094030273, Delta ADC: 4294964617
Raw ADC: 1094033937, Delta ADC: 3664
Raw ADC: 1094036474, Delta ADC: 2537
Raw ADC: 1094044788, Delta ADC: 8314
Raw ADC: 1094045069, Delta ADC: 281
Raw ADC: 1094053524, Delta ADC: 8455
Raw ADC: 1094056906, Delta ADC: 3382
Raw ADC: 1094051270, Delta ADC: 4294961659
Raw ADC: 1094058738, Delta ADC: 7468
Raw ADC: 1094059443, Delta ADC: 705
Raw ADC: 1094063811, Delta ADC: 4368
Raw ADC: 1094062120, Delta ADC: 4294965604
Raw ADC: 1094071561, Delta ADC: 9441
Raw ADC: 1094070716, Delta ADC: 4294966450
Raw ADC: 1094073957, Delta ADC: 3241
Raw ADC: 1094075789, Delta ADC: 1832
Raw ADC: 1094082412, Delta ADC: 6623
Raw ADC: 1094086780, Delta ADC: 4368
Raw ADC: 1094093262, Delta ADC: 6482
Raw ADC: 1094105381, Delta ADC: 12119
Raw ADC: 1094106931, Delta ADC: 1550
Raw ADC: 1094117922, Delta ADC: 10991
Raw ADC: 1094114681, Delta ADC: 4294964054
Raw ADC: 1094129195, Delta ADC: 14514
Raw ADC: 1094136241, Delta ADC: 7046
Raw ADC: 1094138777, Delta ADC: 2536
Raw ADC: 1094140046, Delta ADC: 1269
Raw ADC: 1094153151, Delta ADC: 13105
Raw ADC: 1094160055, Delta ADC: 6904
Raw ADC: 1094158505, Delta ADC: 4294965745
Raw ADC: 1094165833, Delta ADC: 7328
Raw ADC: 1094165974, Delta ADC: 141
Raw ADC: 1094182602, Delta ADC: 16628
Raw ADC: 1094179783, Delta ADC: 4294964476
Raw ADC: 1094183165, Delta ADC: 3382
Raw ADC: 1094178233, Delta ADC: 4294962363
Raw ADC: 1094191902, Delta ADC: 13669
Raw ADC: 1094198666, Delta ADC: 6764
Raw ADC: 1094200216, Delta ADC: 1550
Raw ADC: 1094206416, Delta ADC: 6200
Raw ADC: 1094217971, Delta ADC: 11555
Raw ADC: 1094222481, Delta ADC: 4510
Raw ADC: 1094223467, Delta ADC: 986
Raw ADC: 1094229808, Delta ADC: 6341
Raw ADC: 1094230794, Delta ADC: 986
Raw ADC: 1094244745, Delta ADC: 13951
Raw ADC: 1094252777, Delta ADC: 8032
Raw ADC: 1094245450, Delta ADC: 4294959968
Raw ADC: 1094259259, Delta ADC: 13809
Raw ADC: 1094265741, Delta ADC: 6482
Raw ADC: 1094263909, Delta ADC: 4294965463
Raw ADC: 1094277014, Delta ADC: 13105
Raw ADC: 1094282369, Delta ADC: 5355
Raw ADC: 1094300406, Delta ADC: 18037
Raw ADC: 1094296038, Delta ADC: 4294962927
Raw ADC: 1094302661, Delta ADC: 6623
Raw ADC: 1094308720, Delta ADC: 6059
Raw ADC: 1094323939, Delta ADC: 15219
Raw ADC: 1094329857, Delta ADC: 5918
Raw ADC: 1094338594, Delta ADC: 8737
Raw ADC: 1094337467, Delta ADC: 4294966168
Raw ADC: 1094337326, Delta ADC: 4294967154
Raw ADC: 1094341412, Delta ADC: 4086
Raw ADC: 1094348317, Delta ADC: 6905
Raw ADC: 1094348740, Delta ADC: 423
Raw ADC: 1094353390, Delta ADC: 4650
Raw ADC: 1094355363, Delta ADC: 1973
Raw ADC: 1094358040, Delta ADC: 2677
Raw ADC: 1094358181, Delta ADC: 141
Raw ADC: 1094371145, Delta ADC: 12964
Raw ADC: 1094376641, Delta ADC: 5496
Raw ADC: 1094378050, Delta ADC: 1409
Raw ADC: 1094379741, Delta ADC: 1691
Raw ADC: 1094391578, Delta ADC: 11837
Raw ADC: 1094395241, Delta ADC: 3663
Raw ADC: 1094402710, Delta ADC: 7469
Raw ADC: 1094402428, Delta ADC: 4294967013
Raw ADC: 1094405669, Delta ADC: 3241
Raw ADC: 1094411306, Delta ADC: 5637
Raw ADC: 1094417929, Delta ADC: 6623
Raw ADC: 1094418915, Delta ADC: 986
Raw ADC: 1094420183, Delta ADC: 1268
Raw ADC: 1094426524, Delta ADC: 6341
Raw ADC: 1094428356, Delta ADC: 1832
Raw ADC: 1094437657, Delta ADC: 9301
Raw ADC: 1094442166, Delta ADC: 4509
Raw ADC: 1094443434, Delta ADC: 1268
Raw ADC: 1094452171, Delta ADC: 8737
Raw ADC: 1094453298, Delta ADC: 1127
Raw ADC: 1094452030, Delta ADC: 4294966027
Raw ADC: 1094465417, Delta ADC: 13387
Raw ADC: 1094470912, Delta ADC: 5495
Raw ADC: 1094478804, Delta ADC: 7892
Raw ADC: 1094478381, Delta ADC: 4294966872
Raw ADC: 1094482467, Delta ADC: 4086
Raw ADC: 1094487258, Delta ADC: 4791
Raw ADC: 1094494022, Delta ADC: 6764
Raw ADC: 1094486413, Delta ADC: 4294959686
Raw ADC: 1094494868, Delta ADC: 8455
Raw ADC: 1094493600, Delta ADC: 4294966027
Raw ADC: 1094495291, Delta ADC: 1691
Raw ADC: 1094500364, Delta ADC: 5073
Raw ADC: 1094493459, Delta ADC: 4294960390
Raw ADC: 1094496136, Delta ADC: 2677
Raw ADC: 1094497968, Delta ADC: 1832
Raw ADC: 1094506846, Delta ADC: 8878
Raw ADC: 1094506000, Delta ADC: 4294966449
Raw ADC: 1094509523, Delta ADC: 3523
Raw ADC: 1094519810, Delta ADC: 10287
Raw ADC: 1094529251, Delta ADC: 9441
Raw ADC: 1094535169, Delta ADC: 5918
Raw ADC: 1094536297, Delta ADC: 1128
Raw ADC: 1094535451, Delta ADC: 4294966449
Raw ADC: 1094546442, Delta ADC: 10991
Raw ADC: 1094553629, Delta ADC: 7187
Raw ADC: 1094551093, Delta ADC: 4294964759
Raw ADC: 1094553629, Delta ADC: 2536
Raw ADC: 1094553911, Delta ADC: 282
Raw ADC: 1094558420, Delta ADC: 4509
Raw ADC: 1094567157, Delta ADC: 8737
Raw ADC: 1094570821, Delta ADC: 3664
Raw ADC: 1094574484, Delta ADC: 3663
Raw ADC: 1094579839, Delta ADC: 5355
Raw ADC: 1094580544, Delta ADC: 705
Raw ADC: 1094588294, Delta ADC: 7750
Raw ADC: 1094589140, Delta ADC: 846
Raw ADC: 1094583644, Delta ADC: 4294961799
Raw ADC: 1094602104, Delta ADC: 18460
Raw ADC: 1094601822, Delta ADC: 4294967013
Raw ADC: 1094601822, Delta ADC: 0
Raw ADC: 1094611122, Delta ADC: 9300
Raw ADC: 1094614645, Delta ADC: 3523
Raw ADC: 1094614927, Delta ADC: 282
Raw ADC: 1094630146, Delta ADC: 15219
Raw ADC: 1094638460, Delta ADC: 8314
Raw ADC: 1094641701, Delta ADC: 3241
Raw ADC: 1094651001, Delta ADC: 9300
Raw ADC: 1094650719, Delta ADC: 4294967013
Raw ADC: 1094644378, Delta ADC: 4294960954
Raw ADC: 1094648746, Delta ADC: 4368
Raw ADC: 1094646492, Delta ADC: 4294965041
Raw ADC: 1094656356, Delta ADC: 9864
Raw ADC: 1094653396, Delta ADC: 4294964335
Raw ADC: 1094657906, Delta ADC: 4510
Raw ADC: 1094667629, Delta ADC: 9723
Raw ADC: 1094660583, Delta ADC: 4294960249
Raw ADC: 1094656215, Delta ADC: 4294962927
Raw ADC: 1094659738, Delta ADC: 3523
Raw ADC: 1094664247, Delta ADC: 4509
Raw ADC: 1094659456, Delta ADC: 4294962504
Raw ADC: 1094665797, Delta ADC: 6341
Raw ADC: 1094673970, Delta ADC: 8173
Raw ADC: 1094670306, Delta ADC: 4294963631
Raw ADC: 1094673124, Delta ADC: 2818
Raw ADC: 1094673406, Delta ADC: 282
Raw ADC: 1094669742, Delta ADC: 4294963631
Raw ADC: 1094675661, Delta ADC: 5919
Raw ADC: 1094679466, Delta ADC: 3805
Raw ADC: 1094677916, Delta ADC: 4294965745
Raw ADC: 1094683693, Delta ADC: 5777
Raw ADC: 1094678902, Delta ADC: 4294962504
Raw ADC: 1094683552, Delta ADC: 4650
Raw ADC: 1094683834, Delta ADC: 282
Raw ADC: 1094683411, Delta ADC: 4294966872
Raw ADC: 1094685525, Delta ADC: 2114
Raw ADC: 1094688907, Delta ADC: 3382
Raw ADC: 1094692712, Delta ADC: 3805
Raw ADC: 1094693980, Delta ADC: 1268
Raw ADC: 1094703844, Delta ADC: 9864
Raw ADC: 1094700321, Delta ADC: 4294963772
Raw ADC: 1094693275, Delta ADC: 4294960249
Raw ADC: 1094701589, Delta ADC: 8314
Raw ADC: 1094705817, Delta ADC: 4228
Raw ADC: 1094700321, Delta ADC: 4294961799
Raw ADC: 1094705112, Delta ADC: 4791
Raw ADC: 1094711030, Delta ADC: 5918
Raw ADC: 1094714553, Delta ADC: 3523
Raw ADC: 1094705253, Delta ADC: 4294957995
Raw ADC: 1094708917, Delta ADC: 3664
Raw ADC: 1094712158, Delta ADC: 3241
Raw ADC: 1094722444, Delta ADC: 10286
Raw ADC: 1094720190, Delta ADC: 4294965041
Raw ADC: 1094725685, Delta ADC: 5495
Raw ADC: 1094725122, Delta ADC: 4294966732
Raw ADC: 1094725404, Delta ADC: 282
Raw ADC: 1094723995, Delta ADC: 4294965886
Raw ADC: 1094729208, Delta ADC: 5213
Raw ADC: 1094732731, Delta ADC: 3523
Raw ADC: 1094728504, Delta ADC: 4294963068
Raw ADC: 1094734563, Delta ADC: 6059
Raw ADC: 1094737100, Delta ADC: 2537
Raw ADC: 1094741045, Delta ADC: 3945
Raw ADC: 1094745836, Delta ADC: 4791
Raw ADC: 1094741609, Delta ADC: 4294963068
Raw ADC: 1094756405, Delta ADC: 14796
Raw ADC: 1094749923, Delta ADC: 4294960813
Raw ADC: 1094751755, Delta ADC: 1832
Raw ADC: 1094764578, Delta ADC: 12823
Raw ADC: 1094762323, Delta ADC: 4294965040
Raw ADC: 1094758659, Delta ADC: 4294963631
Raw ADC: 1094761900, Delta ADC: 3241
Raw ADC: 1094765987, Delta ADC: 4087
Raw ADC: 1094773737, Delta ADC: 7750
Raw ADC: 1094769369, Delta ADC: 4294962927
Raw ADC: 1094783883, Delta ADC: 14514
Raw ADC: 1094786138, Delta ADC: 2255
Raw ADC: 1094793606, Delta ADC: 7468
Raw ADC: 1094804034, Delta ADC: 10428
Raw ADC: 1094812207, Delta ADC: 8173
Raw ADC: 1094819393, Delta ADC: 7186
Raw ADC: 1094824466, Delta ADC: 5073
Raw ADC: 1094832780, Delta ADC: 8314
Raw ADC: 1094840812, Delta ADC: 8032
Raw ADC: 1094855186, Delta ADC: 14374
Raw ADC: 1094854904, Delta ADC: 4294967013
Raw ADC: 1094862091, Delta ADC: 7187
Raw ADC: 1094870545, Delta ADC: 8454
Raw ADC: 1094880128, Delta ADC: 9583
Raw ADC: 1094887455, Delta ADC: 7327
Raw ADC: 1094898869, Delta ADC: 11414
Raw ADC: 1094909579, Delta ADC: 10710
Raw ADC: 1094909579, Delta ADC: 0
Raw ADC: 1094912538, Delta ADC: 2959
Raw ADC: 1094923106, Delta ADC: 10568
Raw ADC: 1094929729, Delta ADC: 6623
Raw ADC: 1094938043, Delta ADC: 8314
Raw ADC: 1094948330, Delta ADC: 10287
Raw ADC: 1094961576, Delta ADC: 13246
Raw ADC: 1094965803, Delta ADC: 4227
Raw ADC: 1094977499, Delta ADC: 11696
Raw ADC: 1094978768, Delta ADC: 1269
Raw ADC: 1094986095, Delta ADC: 7327
Raw ADC: 1094996523, Delta ADC: 10428
Raw ADC: 1094998918, Delta ADC: 2395
Raw ADC: 1095008219, Delta ADC: 9301
Raw ADC: 1095011319, Delta ADC: 3100
Raw ADC: 1095016814, Delta ADC: 5495
Raw ADC: 1095024001, Delta ADC: 7187
Raw ADC: 1095031610, Delta ADC: 7609
Raw ADC: 1095028651, Delta ADC: 4294964336
Raw ADC: 1095041474, Delta ADC: 12823
Raw ADC: 1095046829, Delta ADC: 5355
Raw ADC: 1095050352, Delta ADC: 3523
Raw ADC: 1095054720, Delta ADC: 4368
Raw ADC: 1095060780, Delta ADC: 6060
Raw ADC: 1095068530, Delta ADC: 7750
Raw ADC: 1095076421, Delta ADC: 7891
Raw ADC: 1095084735, Delta ADC: 8314
Raw ADC: 1095100377, Delta ADC: 15642
Raw ADC: 1095104322, Delta ADC: 3945
Raw ADC: 1095105027, Delta ADC: 705
Raw ADC: 1095111086, Delta ADC: 6059
Raw ADC: 1095120668, Delta ADC: 9582
Raw ADC: 1095125037, Delta ADC: 4369
Raw ADC: 1095119541, Delta ADC: 4294961799
Raw ADC: 1095134619, Delta ADC: 15078
Raw ADC: 1095135605, Delta ADC: 986
Raw ADC: 1095143215, Delta ADC: 7610
Raw ADC: 1095146878, Delta ADC: 3663
Raw ADC: 1095149978, Delta ADC: 3100
Raw ADC: 1095156460, Delta ADC: 6482
Raw ADC: 1095160829, Delta ADC: 4369
Raw ADC: 1095165620, Delta ADC: 4791
Raw ADC: 1095171256, Delta ADC: 5636
Raw ADC: 1095188025, Delta ADC: 16769
Raw ADC: 1095186334, Delta ADC: 4294965604
Raw ADC: 1095186757, Delta ADC: 423
Raw ADC: 1095202680, Delta ADC: 15923
Raw ADC: 1095203808, Delta ADC: 1128
Raw ADC: 1095208458, Delta ADC: 4650
Raw ADC: 1095207049, Delta ADC: 4294965886
Raw ADC: 1095210149, Delta ADC: 3100
Raw ADC: 1095206908, Delta ADC: 4294964054
Raw ADC: 1095209867, Delta ADC: 2959
Raw ADC: 1095213390, Delta ADC: 3523
Raw ADC: 1095206908, Delta ADC: 4294960813
Raw ADC: 1095217476, Delta ADC: 10568
Raw ADC: 1095222127, Delta ADC: 4651
Raw ADC: 1095229595, Delta ADC: 7468
Raw ADC: 1095221140, Delta ADC: 4294958840
Raw ADC: 1095240304, Delta ADC: 19164
Raw ADC: 1095235936, Delta ADC: 4294962927
Raw ADC: 1095236218, Delta ADC: 282
Raw ADC: 1095238614, Delta ADC: 2396
Raw ADC: 1095250873, Delta ADC: 12259
Raw ADC: 1095240727, Delta ADC: 4294957149
Raw ADC: 1095258623, Delta ADC: 17896
Raw ADC: 1095268910, Delta ADC: 10287
Raw ADC: 1095261019, Delta ADC: 4294959404
Raw ADC: 1095276942, Delta ADC: 15923
Raw ADC: 1095290047, Delta ADC: 13105
Raw ADC: 1095292443, Delta ADC: 2396
Raw ADC: 1095303293, Delta ADC: 10850
Raw ADC: 1095306252, Delta ADC: 2959
Raw ADC: 1095304702, Delta ADC: 4294965745
Raw ADC: 1095309352, Delta ADC: 4650
Raw ADC: 1095320767, Delta ADC: 11415
Raw ADC: 1095320907, Delta ADC: 140
Raw ADC: 1095327671, Delta ADC: 6764
Raw ADC: 1095329785, Delta ADC: 2114
Raw ADC: 1095334435, Delta ADC: 4650
Raw ADC: 1095341622, Delta ADC: 7187
Raw ADC: 1095345427, Delta ADC: 3805
Raw ADC: 1095346836, Delta ADC: 1409
Raw ADC: 1095343876, Delta ADC: 4294964335
Raw ADC: 1095350640, Delta ADC: 6764
Raw ADC: 1095356559, Delta ADC: 5919
Raw ADC: 1095364732, Delta ADC: 8173
Raw ADC: 1095366000, Delta ADC: 1268
Raw ADC: 1095361773, Delta ADC: 4294963068
Raw ADC: 1095375582, Delta ADC: 13809
Raw ADC: 1095379951, Delta ADC: 4369
Raw ADC: 1095392492, Delta ADC: 12541
Raw ADC: 1095397706, Delta ADC: 5214
Raw ADC: 1095417011, Delta ADC: 19305
Raw ADC: 1095410529, Delta ADC: 4294960813
Raw ADC: 1095419266, Delta ADC: 8737
Raw ADC: 1095433780, Delta ADC: 14514
Raw ADC: 1095433780, Delta ADC: 0
Raw ADC: 1095426452, Delta ADC: 4294959967
Raw ADC: 1095426734, Delta ADC: 282
Raw ADC: 1095437725, Delta ADC: 10991
Raw ADC: 1095443221, Delta ADC: 5496
Raw ADC: 1095442376, Delta ADC: 4294966450
Raw ADC: 1095449280, Delta ADC: 6904
Raw ADC: 1095450408, Delta ADC: 1128
Raw ADC: 1095438007, Delta ADC: 4294954894
Raw ADC: 1095443080, Delta ADC: 5073
Raw ADC: 1095448153, Delta ADC: 5073
Raw ADC: 1095455622, Delta ADC: 7469
Raw ADC: 1095460835, Delta ADC: 5213
Raw ADC: 1095470558, Delta ADC: 9723
Raw ADC: 1095470699, Delta ADC: 141
Raw ADC: 1095476477, Delta ADC: 5778
Raw ADC: 1095480422, Delta ADC: 3945
Raw ADC: 1095487327, Delta ADC: 6905
Raw ADC: 1095492541, Delta ADC: 5214
Raw ADC: 1095502264, Delta ADC: 9723
Raw ADC: 1095513537, Delta ADC: 11273
Raw ADC: 1095509169, Delta ADC: 4294962927
Raw ADC: 1095517201, Delta ADC: 8032
Raw ADC: 1095525656, Delta ADC: 8455
Raw ADC: 1095531433, Delta ADC: 5777
Raw ADC: 1095533406, Delta ADC: 1973
Raw ADC: 1095534956, Delta ADC: 1550
Raw ADC: 1095546370, Delta ADC: 11414
Raw ADC: 1095548766, Delta ADC: 2396
Raw ADC: 1095553416, Delta ADC: 4650
Raw ADC: 1095556375, Delta ADC: 2959
Raw ADC: 1095564548, Delta ADC: 8173
Raw ADC: 1095570608, Delta ADC: 6060
Raw ADC: 1095576808, Delta ADC: 6200
Raw ADC: 1095571876, Delta ADC: 4294962363
Raw ADC: 1095586531, Delta ADC: 14655
Raw ADC: 1095588363, Delta ADC: 1832
Raw ADC: 1095592027, Delta ADC: 3664
Raw ADC: 1095598650, Delta ADC: 6623
Raw ADC: 1095602595, Delta ADC: 3945
Raw ADC: 1095611191, Delta ADC: 8596
Raw ADC: 1095606963, Delta ADC: 4294963067
Raw ADC: 1095616827, Delta ADC: 9864
Raw ADC: 1095614291, Delta ADC: 4294964759
Raw ADC: 1095619223, Delta ADC: 4932
Raw ADC: 1095623873, Delta ADC: 4650
Raw ADC: 1095615700, Delta ADC: 4294959122
Raw ADC: 1095621478, Delta ADC: 5778
Raw ADC: 1095612177, Delta ADC: 4294957994
Raw ADC: 1095624437, Delta ADC: 12260
Raw ADC: 1095626128, Delta ADC: 1691
Raw ADC: 1095625001, Delta ADC: 4294966168
Raw ADC: 1095621759, Delta ADC: 4294964053
Raw ADC: 1095614432, Delta ADC: 4294959968
Raw ADC: 1095622605, Delta ADC: 8173
Raw ADC: 1095618096, Delta ADC: 4294962786
Raw ADC: 1095614291, Delta ADC: 4294963490
Raw ADC: 1095617250, Delta ADC: 2959
Raw ADC: 1095613727, Delta ADC: 4294963772
Raw ADC: 1095620209, Delta ADC: 6482
Raw ADC: 1095622605, Delta ADC: 2396
Raw ADC: 1095619787, Delta ADC: 4294964477
Raw ADC: 1095630355, Delta ADC: 10568
Raw ADC: 1095627960, Delta ADC: 4294964900
Raw ADC: 1095628382, Delta ADC: 422
Raw ADC: 1095631483, Delta ADC: 3101
Raw ADC: 1095631764, Delta ADC: 281
Raw ADC: 1095638528, Delta ADC: 6764
Raw ADC: 1095642615, Delta ADC: 4087
Raw ADC: 1095647124, Delta ADC: 4509
Raw ADC: 1095639656, Delta ADC: 4294959827
Raw ADC: 1095650224, Delta ADC: 10568
Raw ADC: 1095646701, Delta ADC: 4294963772
Raw ADC: 1095649661, Delta ADC: 2960
Raw ADC: 1095649801, Delta ADC: 140
Raw ADC: 1095643742, Delta ADC: 4294961236
Raw ADC: 1095646279, Delta ADC: 2537
Raw ADC: 1095640501, Delta ADC: 4294961517
Raw ADC: 1095637260, Delta ADC: 4294964054
Raw ADC: 1095636274, Delta ADC: 4294966309
Raw ADC: 1095636978, Delta ADC: 704
Raw ADC: 1095638106, Delta ADC: 1128
Raw ADC: 1095628946, Delta ADC: 4294958135
Raw ADC: 1095635005, Delta ADC: 6059
Raw ADC: 1095634160, Delta ADC: 4294966450
Raw ADC: 1095641065, Delta ADC: 6905
Raw ADC: 1095639092, Delta ADC: 4294965322
Raw ADC: 1095638951, Delta ADC: 4294967154
Raw ADC: 1095639937, Delta ADC: 986
Raw ADC: 1095635710, Delta ADC: 4294963068
Raw ADC: 1095642051, Delta ADC: 6341
Raw ADC: 1095636555, Delta ADC: 4294961799
Raw ADC: 1095635005, Delta ADC: 4294965745
Raw ADC: 1095632046, Delta ADC: 4294964336
Raw ADC: 1095641347, Delta ADC: 9301
Raw ADC: 1095642615, Delta ADC: 1268
Raw ADC: 1095644306, Delta ADC: 1691
Raw ADC: 1095646419, Delta ADC: 2113
Raw ADC: 1095644588, Delta ADC: 4294965464
Raw ADC: 1095642897, Delta ADC: 4294965604
Raw ADC: 1095650506, Delta ADC: 7609
Raw ADC: 1095647970, Delta ADC: 4294964759
Raw ADC: 1095658397, Delta ADC: 10427
Raw ADC: 1095660370, Delta ADC: 1973
Raw ADC: 1095655015, Delta ADC: 4294961940
Raw ADC: 1095654733, Delta ADC: 4294967013
Raw ADC: 1095657974, Delta ADC: 3241
Raw ADC: 1095654170, Delta ADC: 4294963491
Raw ADC: 1095667698, Delta ADC: 13528
Raw ADC: 1095664738, Delta ADC: 4294964335
Raw ADC: 1095661356, Delta ADC: 4294963913
Raw ADC: 1095665866, Delta ADC: 4510
Raw ADC: 1095666570, Delta ADC: 704
Raw ADC: 1095673334, Delta ADC: 6764
