Raw ADC: 1073741823, Delta ADC: 0
Raw ADC: 1666458093, Delta ADC: 462275
Raw ADC: 1666919682, Delta ADC: 461589
Raw ADC: 1667380587, Delta ADC: 460905
Raw ADC: 1667840809, Delta ADC: 460222
Raw ADC: 1668300351, Delta ADC: 459542
Raw ADC: 1668759214, Delta ADC: 458863
Raw ADC: 1669217402, Delta ADC: 458188
Raw ADC: 1669674915, Delta ADC: 457513
Raw ADC: 1670131756, Delta ADC: 456841
Raw ADC: 1670587926, Delta ADC: 456170
Raw ADC: 1671043428, Delta ADC: 455502
Raw ADC: 1671498264, Delta ADC: 454836
Raw ADC: 1671952435, Delta ADC: 454171
Raw ADC: 1672405944, Delta ADC: 453509
Raw ADC: 1672858792, Delta ADC: 452848
Raw ADC: 1673310981, Delta ADC: 452189
Raw ADC: 1673762514, Delta ADC: 451533
Raw ADC: 1674213391, Delta ADC: 450877
Raw ADC: 1674663616, Delta ADC: 450225
Raw ADC: 1675113190, Delta ADC: 449574
Raw ADC: 1675562114, Delta ADC: 448924
Raw ADC: 1676010391, Delta ADC: 448277
Raw ADC: 1676458023, Delta ADC: 447632
Raw ADC: 1676905011, Delta ADC: 446988
Raw ADC: 1677351357, Delta ADC: 446346
Raw ADC: 1677797063, Delta ADC: 445706
Raw ADC: 1678242131, Delta ADC: 445068
